graph_type,n_nodes,n_sources,n_edges,run_id,algorithm,runtime,memory_peak,seed,extra_params
tree,10,1,9,0,Dijkstra,0.0006165420054458082,46.908203125,0,
tree,10,1,9,0,BMSSP,0.001254499948117882,28.0,0,
tree,100,1,99,0,Dijkstra,0.0002026669681072235,12.921875,0,
tree,100,1,99,0,BMSSP,0.010142000042833388,155.662109375,0,
ER,20,1,15,0,Dijkstra,1.4999997802078724e-05,0.9921875,0,p=0.1
ER,20,1,15,0,BMSSP,0.0002227500081062317,13.4140625,0,p=0.1
BA,20,1,36,0,Dijkstra,5.8542005717754364e-05,2.3359375,0,m=2
BA,20,1,36,0,BMSSP,0.0032980000250972807,46.5234375,0,m=2
WS,20,1,40,0,Dijkstra,6.516696885228157e-05,1.9921875,0,"k=4,p=0.2"
WS,20,1,40,0,BMSSP,0.002860583015717566,44.546875,0,"k=4,p=0.2"
grid_2d,9,1,12,0,Dijkstra,3.125000512227416e-05,1.3515625,0,"rows=3,cols=3"
grid_2d,9,1,12,0,BMSSP,0.0010038749896921217,16.1171875,0,"rows=3,cols=3"
grid_2d,100,1,180,0,Dijkstra,0.00019225000869482756,12.78125,0,"rows=10,cols=10"
grid_2d,100,1,180,0,BMSSP,0.010082833003252745,89.50390625,0,"rows=10,cols=10"
grid_3d,8,1,12,0,Dijkstra,2.745899837464094e-05,1.3203125,0,"x=2,y=2,z=2"
grid_3d,8,1,12,0,BMSSP,0.0008679999737069011,16.6171875,0,"x=2,y=2,z=2"
torus,9,1,18,0,Dijkstra,3.100000321865082e-05,1.3515625,0,"rows=3,cols=3"
torus,9,1,18,0,BMSSP,0.0014542079879902303,24.25,0,"rows=3,cols=3"
complete,5,1,10,0,Dijkstra,5.529198097065091e-05,1.0234375,0,
complete,5,1,10,0,BMSSP,0.0009291250025853515,15.9453125,0,
leafspine,5,1,6,0,Dijkstra,2.2916996385902166e-05,1.0234375,0,"n_leaves=3,n_spines=2"
leafspine,5,1,6,0,BMSSP,0.0006810839986428618,17.3046875,0,"n_leaves=3,n_spines=2"
fattree,20,1,48,0,Dijkstra,5.5958982557058334e-05,2.1484375,0,k=4
fattree,20,1,48,0,BMSSP,0.004101291997358203,53.7578125,0,k=4
tree,10,2,9,0,Dijkstra,3.929197555407882e-05,1.3203125,0,
tree,10,2,9,0,BMSSP,0.0010115419863723218,17.5703125,0,
tree,100,2,99,0,Dijkstra,0.00019520905334502459,12.546875,0,
tree,100,2,99,0,BMSSP,0.0098560830228962,99.146484375,0,
ER,20,2,15,0,Dijkstra,2.4582957848906517e-05,0.9921875,0,p=0.1
ER,20,2,15,0,BMSSP,0.0004467919934540987,13.375,0,p=0.1
BA,20,2,36,0,Dijkstra,5.741603672504425e-05,2.0859375,0,m=2
BA,20,2,36,0,BMSSP,0.0033449999755248427,47.359375,0,m=2
WS,20,2,40,0,Dijkstra,9.404198499396443e-05,2.0234375,0,"k=4,p=0.2"
WS,20,2,40,0,BMSSP,0.004838583990931511,44.453125,0,"k=4,p=0.2"
grid_2d,9,2,12,0,Dijkstra,4.7833018470555544e-05,1.3515625,0,"rows=3,cols=3"
grid_2d,9,2,12,0,BMSSP,0.001476749952416867,15.5078125,0,"rows=3,cols=3"
grid_2d,100,2,180,0,Dijkstra,0.00034650106681510806,12.40625,0,"rows=10,cols=10"
grid_2d,100,2,180,0,BMSSP,0.019663624989334494,131.88671875,0,"rows=10,cols=10"
grid_3d,8,2,12,0,Dijkstra,4.1499966755509377e-05,1.3203125,0,"x=2,y=2,z=2"
grid_3d,8,2,12,0,BMSSP,0.0010699169943109155,16.1953125,0,"x=2,y=2,z=2"
torus,9,2,18,0,Dijkstra,4.5874970965087414e-05,1.3515625,0,"rows=3,cols=3"
torus,9,2,18,0,BMSSP,0.0018461669096723199,23.3828125,0,"rows=3,cols=3"
complete,5,2,10,0,Dijkstra,3.433407982811332e-05,1.0234375,0,
complete,5,2,10,0,BMSSP,0.0012294170446693897,15.734375,0,
leafspine,5,2,6,0,Dijkstra,3.283302066847682e-05,1.0234375,0,"n_leaves=3,n_spines=2"
leafspine,5,2,6,0,BMSSP,0.0009445839677937329,17.0703125,0,"n_leaves=3,n_spines=2"
fattree,20,2,48,0,Dijkstra,9.458302520215511e-05,2.0859375,0,k=4
fattree,20,2,48,0,BMSSP,0.007048833998851478,50.8984375,0,k=4
tree,10,1,9,1,Dijkstra,3.1333009246736765e-05,1.3203125,1,
tree,10,1,9,1,BMSSP,0.0007685419986955822,17.5,1,
tree,100,1,99,1,Dijkstra,0.00016366696218028665,12.546875,1,
tree,100,1,99,1,BMSSP,0.008716124983038753,99.724609375,1,
ER,20,1,23,1,Dijkstra,3.149994881823659e-05,1.3203125,1,p=0.1
ER,20,1,23,1,BMSSP,0.0009096250287257135,21.921875,1,p=0.1
BA,20,1,36,1,Dijkstra,5.2749994210898876e-05,2.0859375,1,m=2
BA,20,1,36,1,BMSSP,0.0037323750439099967,51.4453125,1,m=2
WS,20,1,40,1,Dijkstra,5.016702925786376e-05,2.0234375,1,"k=4,p=0.2"
WS,20,1,40,1,BMSSP,0.0029892499442212284,48.4609375,1,"k=4,p=0.2"
grid_2d,9,1,12,1,Dijkstra,2.8958020266145468e-05,1.3203125,1,"rows=3,cols=3"
grid_2d,9,1,12,1,BMSSP,0.0007038749754428864,15.03125,1,"rows=3,cols=3"
grid_2d,100,1,180,1,Dijkstra,0.00018354103667661548,12.40625,1,"rows=10,cols=10"
grid_2d,100,1,180,1,BMSSP,0.009625125036109239,113.20703125,1,"rows=10,cols=10"
grid_3d,8,1,12,1,Dijkstra,2.8915994334965944e-05,1.3203125,1,"x=2,y=2,z=2"
grid_3d,8,1,12,1,BMSSP,0.0009428749908693135,16.1875,1,"x=2,y=2,z=2"
torus,9,1,18,1,Dijkstra,3.229198046028614e-05,1.3515625,1,"rows=3,cols=3"
torus,9,1,18,1,BMSSP,0.001434125006198883,25.1328125,1,"rows=3,cols=3"
complete,5,1,10,1,Dijkstra,2.1083978936076164e-05,1.0234375,1,
complete,5,1,10,1,BMSSP,0.000845166970975697,16.765625,1,
leafspine,5,1,6,1,Dijkstra,2.0082981791347265e-05,1.0234375,1,"n_leaves=3,n_spines=2"
leafspine,5,1,6,1,BMSSP,0.000606709043495357,17.296875,1,"n_leaves=3,n_spines=2"
fattree,20,1,48,1,Dijkstra,5.6374992709606886e-05,2.2734375,1,k=4
fattree,20,1,48,1,BMSSP,0.004018209001515061,50.3359375,1,k=4
tree,10,2,9,1,Dijkstra,5.429197335615754e-05,1.3203125,1,
tree,10,2,9,1,BMSSP,0.0014698749873787165,17.984375,1,
tree,100,2,99,1,Dijkstra,0.00017079099779948592,12.546875,1,
tree,100,2,99,1,BMSSP,0.00930391700239852,95.490234375,1,
ER,20,2,23,1,Dijkstra,5.5751006584614515e-05,1.9609375,1,p=0.1
ER,20,2,23,1,BMSSP,0.0022587920539081097,28.4921875,1,p=0.1
BA,20,2,36,1,Dijkstra,9.241694351658225e-05,2.0859375,1,m=2
BA,20,2,36,1,BMSSP,0.005919916031416506,51.4453125,1,m=2
WS,20,2,40,1,Dijkstra,8.608296047896147e-05,2.0234375,1,"k=4,p=0.2"
WS,20,2,40,1,BMSSP,0.005513292038813233,38.8125,1,"k=4,p=0.2"
grid_2d,9,2,12,1,Dijkstra,4.679203266277909e-05,1.3203125,1,"rows=3,cols=3"
grid_2d,9,2,12,1,BMSSP,0.0012033749953843653,15.1953125,1,"rows=3,cols=3"
grid_2d,100,2,180,1,Dijkstra,0.00031716597732156515,12.40625,1,"rows=10,cols=10"
grid_2d,100,2,180,1,BMSSP,0.01846279192250222,129.26171875,1,"rows=10,cols=10"
grid_3d,8,2,12,1,Dijkstra,3.9583013858646154e-05,1.3203125,1,"x=2,y=2,z=2"
grid_3d,8,2,12,1,BMSSP,0.0011082079727202654,16.078125,1,"x=2,y=2,z=2"
torus,9,2,18,1,Dijkstra,4.970794543623924e-05,1.3515625,1,"rows=3,cols=3"
torus,9,2,18,1,BMSSP,0.0020704580238088965,24.96875,1,"rows=3,cols=3"
complete,5,2,10,1,Dijkstra,3.424903843551874e-05,1.0234375,1,
complete,5,2,10,1,BMSSP,0.0013412080006673932,16.2734375,1,
leafspine,5,2,6,1,Dijkstra,3.125000512227416e-05,1.0234375,1,"n_leaves=3,n_spines=2"
leafspine,5,2,6,1,BMSSP,0.0009553750278428197,17.1875,1,"n_leaves=3,n_spines=2"
fattree,20,2,48,1,Dijkstra,9.370897896587849e-05,2.0859375,1,k=4
fattree,20,2,48,1,BMSSP,0.007039498945232481,53.015625,1,k=4
tree,10,1,9,2,Dijkstra,3.270799061283469e-05,1.2890625,2,
tree,10,1,9,2,BMSSP,0.0005982090369798243,15.046875,2,
tree,100,1,99,2,Dijkstra,0.00015912496019154787,12.546875,2,
tree,100,1,99,2,BMSSP,0.00970524997683242,124.990234375,2,
ER,20,1,21,2,Dijkstra,2.1666986867785454e-05,1.0234375,2,p=0.1
ER,20,1,21,2,BMSSP,0.0003715829807333648,14.5546875,2,p=0.1
BA,20,1,36,2,Dijkstra,5.124998278915882e-05,2.0859375,2,m=2
BA,20,1,36,2,BMSSP,0.003639750008005649,56.9453125,2,m=2
WS,20,1,40,2,Dijkstra,5.2708026487380266e-05,2.0234375,2,"k=4,p=0.2"
WS,20,1,40,2,BMSSP,0.002697916002944112,45.578125,2,"k=4,p=0.2"
grid_2d,9,1,12,2,Dijkstra,2.9958959203213453e-05,1.3515625,2,"rows=3,cols=3"
grid_2d,9,1,12,2,BMSSP,0.0007624580175615847,16.828125,2,"rows=3,cols=3"
grid_2d,100,1,180,2,Dijkstra,0.00017345801461488008,12.40625,2,"rows=10,cols=10"
grid_2d,100,1,180,2,BMSSP,0.009958125010598451,113.05859375,2,"rows=10,cols=10"
grid_3d,8,1,12,2,Dijkstra,3.0583993066102266e-05,1.3515625,2,"x=2,y=2,z=2"
grid_3d,8,1,12,2,BMSSP,0.0007730420329608023,16.78125,2,"x=2,y=2,z=2"
torus,9,1,18,2,Dijkstra,3.0499999411404133e-05,1.3515625,2,"rows=3,cols=3"
torus,9,1,18,2,BMSSP,0.0013639579992741346,26.1640625,2,"rows=3,cols=3"
complete,5,1,10,2,Dijkstra,2.037500962615013e-05,1.0234375,2,
complete,5,1,10,2,BMSSP,0.0008217500289902091,16.84375,2,
leafspine,5,1,6,2,Dijkstra,1.912500010803342e-05,1.0234375,2,"n_leaves=3,n_spines=2"
leafspine,5,1,6,2,BMSSP,0.0005881250253878534,17.1796875,2,"n_leaves=3,n_spines=2"
fattree,20,1,48,2,Dijkstra,5.3750001825392246e-05,2.0859375,2,k=4
fattree,20,1,48,2,BMSSP,0.004155917034950107,50.4453125,2,k=4
tree,10,2,9,2,Dijkstra,3.966700751334429e-05,1.2890625,2,
tree,10,2,9,2,BMSSP,0.0007264179876074195,14.2265625,2,
tree,100,2,99,2,Dijkstra,0.0003164589870721102,12.546875,2,
tree,100,2,99,2,BMSSP,0.02117949997773394,157.302734375,2,
ER,20,2,21,2,Dijkstra,4.400097532197833e-05,1.0234375,2,p=0.1
ER,20,2,21,2,BMSSP,0.0009750410099513829,18.046875,2,p=0.1
BA,20,2,36,2,Dijkstra,9.179092012345791e-05,2.0859375,2,m=2
BA,20,2,36,2,BMSSP,0.0066847910056822,45.1640625,2,m=2
WS,20,2,40,2,Dijkstra,9.69579559750855e-05,2.0234375,2,"k=4,p=0.2"
WS,20,2,40,2,BMSSP,0.00489241600735113,45.578125,2,"k=4,p=0.2"
grid_2d,9,2,12,2,Dijkstra,4.879198968410492e-05,1.3515625,2,"rows=3,cols=3"
grid_2d,9,2,12,2,BMSSP,0.0017125000013038516,16.7734375,2,"rows=3,cols=3"
grid_2d,100,2,180,2,Dijkstra,0.00032237498089671135,12.40625,2,"rows=10,cols=10"
grid_2d,100,2,180,2,BMSSP,0.018793666968122125,128.10546875,2,"rows=10,cols=10"
grid_3d,8,2,12,2,Dijkstra,4.108302528038621e-05,1.3515625,2,"x=2,y=2,z=2"
grid_3d,8,2,12,2,BMSSP,0.001114708953537047,17.0546875,2,"x=2,y=2,z=2"
torus,9,2,18,2,Dijkstra,4.449900006875396e-05,1.3515625,2,"rows=3,cols=3"
torus,9,2,18,2,BMSSP,0.0020550420158542693,26.7109375,2,"rows=3,cols=3"
complete,5,2,10,2,Dijkstra,3.387394826859236e-05,1.0234375,2,
complete,5,2,10,2,BMSSP,0.001428291026968509,17.0078125,2,
leafspine,5,2,6,2,Dijkstra,3.4499040339142084e-05,1.0234375,2,"n_leaves=3,n_spines=2"
leafspine,5,2,6,2,BMSSP,0.0013595419586636126,14.46875,2,"n_leaves=3,n_spines=2"
fattree,20,2,48,2,Dijkstra,9.504100307822227e-05,2.0859375,2,k=4
fattree,20,2,48,2,BMSSP,0.007440042041707784,58.0625,2,k=4
tree,10,1,9,3,Dijkstra,3.120797919109464e-05,1.3203125,3,
tree,10,1,9,3,BMSSP,0.0007818329613655806,17.0546875,3,
tree,100,1,99,3,Dijkstra,0.0001800830359570682,12.578125,3,
tree,100,1,99,3,BMSSP,0.01053624995984137,151.826171875,3,
ER,20,1,19,3,Dijkstra,3.1167000997811556e-05,1.3203125,3,p=0.1
ER,20,1,19,3,BMSSP,0.0007860419573262334,20.078125,3,p=0.1
BA,20,1,36,3,Dijkstra,5.137501284480095e-05,2.0546875,3,m=2
BA,20,1,36,3,BMSSP,0.003168584022205323,49.640625,3,m=2
WS,20,1,40,3,Dijkstra,4.9666035920381546e-05,2.0234375,3,"k=4,p=0.2"
WS,20,1,40,3,BMSSP,0.003109833982307464,48.515625,3,"k=4,p=0.2"
grid_2d,9,1,12,3,Dijkstra,2.7958012651652098e-05,1.3203125,3,"rows=3,cols=3"
grid_2d,9,1,12,3,BMSSP,0.0007047500112093985,16.3125,3,"rows=3,cols=3"
grid_2d,100,1,180,3,Dijkstra,0.00017075001960620284,12.375,3,"rows=10,cols=10"
grid_2d,100,1,180,3,BMSSP,0.010664749948773533,136.50390625,3,"rows=10,cols=10"
grid_3d,8,1,12,3,Dijkstra,2.9667047783732414e-05,1.3515625,3,"x=2,y=2,z=2"
grid_3d,8,1,12,3,BMSSP,0.0008368329727090895,17.3984375,3,"x=2,y=2,z=2"
torus,9,1,18,3,Dijkstra,3.0583993066102266e-05,1.3515625,3,"rows=3,cols=3"
torus,9,1,18,3,BMSSP,0.0014378330088220537,24.765625,3,"rows=3,cols=3"
complete,5,1,10,3,Dijkstra,2.0832987502217293e-05,1.0234375,3,
complete,5,1,10,3,BMSSP,0.0008712499984540045,16.1328125,3,
leafspine,5,1,6,3,Dijkstra,1.95419997908175e-05,1.0234375,3,"n_leaves=3,n_spines=2"
leafspine,5,1,6,3,BMSSP,0.0006408750195987523,17.4609375,3,"n_leaves=3,n_spines=2"
fattree,20,1,48,3,Dijkstra,5.487498128786683e-05,2.0859375,3,k=4
fattree,20,1,48,3,BMSSP,0.004484540957491845,53.9296875,3,k=4
tree,10,2,9,3,Dijkstra,5.341600626707077e-05,1.3203125,3,
tree,10,2,9,3,BMSSP,0.0018203749787062407,17.78125,3,
tree,100,2,99,3,Dijkstra,0.0003337920643389225,12.578125,3,
tree,100,2,99,3,BMSSP,0.02025924902409315,155.287109375,3,
ER,20,2,19,3,Dijkstra,4.308304050937295e-05,1.3203125,3,p=0.1
ER,20,2,19,3,BMSSP,0.0013129169237799942,20.078125,3,p=0.1
BA,20,2,36,3,Dijkstra,8.349999552592635e-05,2.0546875,3,m=2
BA,20,2,36,3,BMSSP,0.005752750032115728,39.8828125,3,m=2
WS,20,2,40,3,Dijkstra,9.379099356010556e-05,2.0234375,3,"k=4,p=0.2"
WS,20,2,40,3,BMSSP,0.0058655000175349414,48.515625,3,"k=4,p=0.2"
grid_2d,9,2,12,3,Dijkstra,4.79590380564332e-05,1.3203125,3,"rows=3,cols=3"
grid_2d,9,2,12,3,BMSSP,0.0012055829865857959,16.3125,3,"rows=3,cols=3"
grid_2d,100,2,180,3,Dijkstra,0.00031687598675489426,12.375,3,"rows=10,cols=10"
grid_2d,100,2,180,3,BMSSP,0.01906550000421703,122.20703125,3,"rows=10,cols=10"
grid_3d,8,2,12,3,Dijkstra,4.037597682327032e-05,1.3515625,3,"x=2,y=2,z=2"
grid_3d,8,2,12,3,BMSSP,0.0010803330224007368,17.125,3,"x=2,y=2,z=2"
torus,9,2,18,3,Dijkstra,4.4666987378150225e-05,1.3515625,3,"rows=3,cols=3"
torus,9,2,18,3,BMSSP,0.0018932909588329494,24.0546875,3,"rows=3,cols=3"
complete,5,2,10,3,Dijkstra,3.3750024158507586e-05,1.0234375,3,
complete,5,2,10,3,BMSSP,0.001407250005286187,15.96875,3,
leafspine,5,2,6,3,Dijkstra,3.4999975468963385e-05,1.0234375,3,"n_leaves=3,n_spines=2"
leafspine,5,2,6,3,BMSSP,0.0009476250852458179,17.1875,3,"n_leaves=3,n_spines=2"
fattree,20,2,48,3,Dijkstra,8.749996777623892e-05,2.0859375,3,k=4
fattree,20,2,48,3,BMSSP,0.006976542004849762,55.828125,3,k=4
tree,10,1,9,4,Dijkstra,3.0957977287471294e-05,1.3203125,4,
tree,10,1,9,4,BMSSP,0.0007135840132832527,16.140625,4,
tree,100,1,99,4,Dijkstra,0.00016204197891056538,12.546875,4,
tree,100,1,99,4,BMSSP,0.008821084047667682,135.802734375,4,
ER,20,1,23,4,Dijkstra,2.0749983377754688e-05,1.0234375,4,p=0.1
ER,20,1,23,4,BMSSP,0.00034304201835766435,13.984375,4,p=0.1
BA,20,1,36,4,Dijkstra,4.962499951943755e-05,2.0859375,4,m=2
BA,20,1,36,4,BMSSP,0.0038121669786050916,41.6953125,4,m=2
WS,20,1,40,4,Dijkstra,5.199998850002885e-05,2.0234375,4,"k=4,p=0.2"
WS,20,1,40,4,BMSSP,0.003115708997938782,50.1484375,4,"k=4,p=0.2"
grid_2d,9,1,12,4,Dijkstra,2.7999980375170708e-05,1.3203125,4,"rows=3,cols=3"
grid_2d,9,1,12,4,BMSSP,0.0006782499840483069,15.0234375,4,"rows=3,cols=3"
grid_2d,100,1,180,4,Dijkstra,0.00017133296933025122,12.34375,4,"rows=10,cols=10"
grid_2d,100,1,180,4,BMSSP,0.01026820798870176,129.8125,4,"rows=10,cols=10"
grid_3d,8,1,12,4,Dijkstra,2.7959002181887627e-05,1.3203125,4,"x=2,y=2,z=2"
grid_3d,8,1,12,4,BMSSP,0.0008091659983620048,16.1875,4,"x=2,y=2,z=2"
torus,9,1,18,4,Dijkstra,2.9999995604157448e-05,1.3515625,4,"rows=3,cols=3"
torus,9,1,18,4,BMSSP,0.0013650410110130906,24.65625,4,"rows=3,cols=3"
complete,5,1,10,4,Dijkstra,2.0915991626679897e-05,1.0234375,4,
complete,5,1,10,4,BMSSP,0.0008120000129565597,16.171875,4,
leafspine,5,1,6,4,Dijkstra,1.9499973859637976e-05,1.0234375,4,"n_leaves=3,n_spines=2"
leafspine,5,1,6,4,BMSSP,0.0006264169933274388,17.7421875,4,"n_leaves=3,n_spines=2"
fattree,20,1,48,4,Dijkstra,5.441700341179967e-05,2.0546875,4,k=4
fattree,20,1,48,4,BMSSP,0.0039199579623527825,53.46875,4,k=4
tree,10,2,9,4,Dijkstra,5.437503568828106e-05,1.3203125,4,
tree,10,2,9,4,BMSSP,0.0017956249648705125,16.4765625,4,
tree,100,2,99,4,Dijkstra,0.00019033299759030342,12.546875,4,
tree,100,2,99,4,BMSSP,0.009652500040829182,91.849609375,4,
ER,20,2,23,4,Dijkstra,4.0374055970460176e-05,1.2890625,4,p=0.1
ER,20,2,23,4,BMSSP,0.0008749589323997498,17.359375,4,p=0.1
BA,20,2,36,4,Dijkstra,9.062403114512563e-05,2.0859375,4,m=2
BA,20,2,36,4,BMSSP,0.006498375034425408,53.3984375,4,m=2
WS,20,2,40,4,Dijkstra,9.074993431568146e-05,2.0234375,4,"k=4,p=0.2"
WS,20,2,40,4,BMSSP,0.005882124998606741,43.859375,4,"k=4,p=0.2"
grid_2d,9,2,12,4,Dijkstra,5.0498987548053265e-05,1.3203125,4,"rows=3,cols=3"
grid_2d,9,2,12,4,BMSSP,0.0012314579798839986,15.0234375,4,"rows=3,cols=3"
grid_2d,100,2,180,4,Dijkstra,0.0003349999897181988,12.34375,4,"rows=10,cols=10"
grid_2d,100,2,180,4,BMSSP,0.019195333996322006,130.24609375,4,"rows=10,cols=10"
grid_3d,8,2,12,4,Dijkstra,4.758394788950682e-05,1.3203125,4,"x=2,y=2,z=2"
grid_3d,8,2,12,4,BMSSP,0.0012427510228008032,16.1875,4,"x=2,y=2,z=2"
torus,9,2,18,4,Dijkstra,4.5249995309859514e-05,1.3515625,4,"rows=3,cols=3"
torus,9,2,18,4,BMSSP,0.0019513749866746366,24.546875,4,"rows=3,cols=3"
complete,5,2,10,4,Dijkstra,3.3791002351790667e-05,1.0234375,4,
complete,5,2,10,4,BMSSP,0.0013092919834889472,16.0625,4,
leafspine,5,2,6,4,Dijkstra,3.162398934364319e-05,1.0234375,4,"n_leaves=3,n_spines=2"
leafspine,5,2,6,4,BMSSP,0.0009638750343583524,17.4140625,4,"n_leaves=3,n_spines=2"
fattree,20,2,48,4,Dijkstra,9.587407112121582e-05,2.0546875,4,k=4
fattree,20,2,48,4,BMSSP,0.006768374994862825,51.515625,4,k=4
